Month,Actual Consumer Volume Sales,Predicted Consumer Volume Sales,Error
Jan-11,315985.672026958,413350.992118746,97365.32
Feb-11,363351.073601198,452315.94783457,88964.87
Mar-11,336704.195097531,426127.243384432,89423.05
Apr-11,362504.043672383,408405.07387722,45901.03
May-11,348815.47229877,435999.302800811,87183.83
Jun-11,369561.367229047,429207.587349446,59646.22
Jul-11,348525.064318151,379384.899963393,30859.84
Aug-11,343179.122066678,474326.396134765,131147.27
Sep-11,401107.702440258,458181.270179309,57073.57
Oct-11,406779.970547988,440097.033238077,33317.06
Nov-11,472924.668824696,447952.310172939,-24972.36
Dec-11,444283.97675289,490372.469030776,46088.49
Jan-12,422971.959895887,458753.165449351,35781.21
Feb-12,445653.910356706,410633.781714151,-35020.13
Mar-12,427140.234651935,411570.071364146,-15570.16
Apr-12,415247.539665988,383171.998684194,-32075.54
May-12,388159.100239701,419196.394171393,31037.29
Jun-12,417108.771877429,423943.101759709,6834.33
Jul-12,433935.174816895,383628.959066104,-50306.22
Aug-12,424448.791039227,372530.875329608,-51917.92
Sep-12,422578.229528523,411502.982534812,-11075.25
Oct-12,430580.640270496,415890.031210893,-14690.61
Nov-12,472640.695283127,400814.34898257,-71826.35
Dec-12,472564.924990221,429796.095729959,-42768.83
Jan-13,452545.634083411,413380.941112189,-39164.69
Feb-13,486641.009287527,454686.634868624,-31954.37
Mar-13,452787.000260423,412854.209807266,-39932.79
Apr-13,462990.000793025,386452.771386723,-76537.23
May-13,428955.873737468,433208.187222122,4252.31
Jun-13,450461.147974768,432983.943356416,-17477.20
Jul-13,439084.932945404,382400.343255456,-56684.59
Aug-13,438822.065050462,385865.535531042,-52956.53
Sep-13,473409.559546917,457018.726036589,-16390.83
Oct-13,473847.608358617,458324.806506373,-15522.80
Nov-13,515771.22899281,464328.165467806,-51443.06
Dec-13,511342.730796393,497053.669888508,-14289.06
Jan-14,498643.054700404,503079.237714958,4436.18
Feb-14,504552.933553909,479672.378409164,-24880.56
Mar-14,468952.918136336,476539.707420969,7586.79
Apr-14,477527.2245649,381276.539435097,-96250.69
May-14,449408.444635114,451389.799639372,1981.36
Jun-14,471562.867278815,501900.436521538,30337.57
Jul-14,455730.765768486,416131.635549017,-39599.13
Aug-14,431703.135082804,411958.562310535,-19744.57
Sep-14,434570.475587873,462023.774959802,27453.30
Oct-14,436744.443383154,471058.273154397,34313.83
Nov-14,477854.996365731,468907.663871537,-8947.33
Dec-14,469435.198705435,493880.95095621,24445.75
Jan-15,429159.762991491,452699.069778829,23539.31
Feb-15,480302.451150655,538195.09139644,57892.64
Mar-15,454285.359309671,468468.333124011,14182.97
Apr-15,472552.570507662,463209.509778326,-9343.06
May-15,429946.16458853,481601.163788605,51655.00
Jun-15,449340.604841331,387649.446428935,-61691.16
Jul-15,435490.207828813,424038.487277519,-11451.72
Aug-15,422171.409460042,415009.4609116,-7161.95
Sep-15,430499.629294177,464577.894506072,34078.27
Oct-15,437296.820747053,442663.533285601,5366.71
Nov-15,498520.896241313,465125.647825647,-33395.25
Dec-15,508317.279898286,506540.899989563,-1776.38
Jan-16,497483.339726218,474012.504727664,-23470.83
Feb-16,559968.579211634,549369.297361925,-10599.28
Mar-16,527576.157578529,499496.117690466,-28080.04
Apr-16,544453.625270281,476182.606995916,-68271.02
May-16,500420.740377695,503808.292883119,3387.55
Jun-16,515348.055304863,483881.115314647,-31466.94
